name,osm_id,geojson
"",1382153472,'{"type":"Point","coordinates":[-122.6545616,45.5301341]}'
"",1739870918,'{"type":"Point","coordinates":[-122.6534289,45.5309301]}'
"",1426559333,'{"type":"Point","coordinates":[-122.6547418,45.5307565]}'
"",471262879,'{"type":"Point","coordinates":[-122.6556497,45.5296451]}'
"",471262884,'{"type":"Point","coordinates":[-122.6558729,45.5295068]}'
"",1396603083,'{"type":"Point","coordinates":[-122.6586603,45.5300745]}'
"",300783075,'{"type":"Point","coordinates":[-122.6564145,45.5327691]}'
"",1651261086,'{"type":"Point","coordinates":[-122.6553736,45.5301812]}'
"",1426573282,'{"type":"Point","coordinates":[-122.6533493,45.5294009]}'
"",356038428,'{"type":"Point","coordinates":[-122.6559007,45.5318163]}'
"",1738806566,'{"type":"Point","coordinates":[-122.6527108,45.5313828]}'
"",1739870999,'{"type":"Point","coordinates":[-122.656477,45.5316204]}'
"",40535264,'{"type":"Point","coordinates":[-122.6546027,45.5314894]}'
"",1382153486,'{"type":"Point","coordinates":[-122.6566068,45.53016]}'
"",1396250630,'{"type":"Point","coordinates":[-122.6505931,45.5303796]}'
"",333834682,'{"type":"Point","coordinates":[-122.6535678,45.5307671]}'
"",470150321,'{"type":"Point","coordinates":[-122.6543783,45.5294691]}'
"",1382177129,'{"type":"Point","coordinates":[-122.6525525,45.5301489]}'
"",470178645,'{"type":"Point","coordinates":[-122.657101,45.5299025]}'
"",1323025308,'{"type":"Point","coordinates":[-122.6660099,45.5300649]}'
"",333848889,'{"type":"Point","coordinates":[-122.6659086,45.5300834]}'
"",1396606636,'{"type":"Point","coordinates":[-122.6526303,45.5295097]}'
"",1739870870,'{"type":"Point","coordinates":[-122.6536781,45.5306913]}'
"",470178661,'{"type":"Point","coordinates":[-122.6570323,45.5297401]}'
"",1739871062,'{"type":"Point","coordinates":[-122.6561884,45.5327693]}'
"",1396603087,'{"type":"Point","coordinates":[-122.6586607,45.5301088]}'
